Mods count: 493
 
jar name                                                                           | mod id (isMCreator)                          | mixin configs
coroutil-forge-1.20.1-1.3.7.jar                                                    | coroutil                                     | coroutil.mixins.json, coroutil_fabric.mixins.json
corpse-forge-1.20.1-1.0.21.jar                                                     | corpse                                       | 
corpsecurioscompat-1.20.x-Forge-3.0.2.jar                                          | corpsecurioscompat                           | corpsecurioscompat.mixins.json
cosmeticarmorreworked-1.20.1-v1a.jar                                               | cosmeticarmorreworked                        | 
CraftPresence-2.6.1+1.20.1-forge.jar                                               | craftpresence                                | 
CrashAssistant-forge-1.19-1.20.1-1.9.15.jar                                        | crash_assistant                              | 
    /META-INF/jarjar/app.jar                                                       |                                              | 
    /META-INF/jarjar/crash_assistant-forge.jar                                     | crash_assistant                              | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
crashexploitfixer-forge-1.1.0+1.20.1.jar                                           | crashexploitfixer                            | crashexploitfixer.mixins.json
create-1.20.1-6.0.6.jar                                                            | create                                       | create.mixins.json
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.80.jar                                | ponder                                       | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                   |                                              | 
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.4.jar                               | flywheel                                     | flywheel.impl.mixins.json, flywheel.backend.mixins.json
create-stuff-additions1.20.1_v2.1.0.jar                                            | create_sa (MCreator mod)                     | mixins.create_sa.json, mixins.create_sa.refmap.json
create_enchantment_industry-1.3.3-for-create-6.0.6.jar                             | create_enchantment_industry                  | create_enchantment_industry.mixins.json
create_oxidized-0.1.2.jar                                                          | create_oxidized                              | 
create_recycle_1.0.2_forge_1.20.1.jar                                              | create_crush_everything (MCreator mod)       | 
create_ultimate_factory-2.1.0-forge-1.20.1.jar                                     | create_ultimate_factory                      | 
create_waystones_recipes-1.0.1.b.jar                                               | create_waystones_recipes                     | 
createbetterfps-1.20.1-1.1.1.jar                                                   | createbetterfps                              | createbetterfps.mixins.json
createcobblestone-1.4.5+forge-1.20.1-106.jar                                       | createcobblestone                            | createcobblestone.mixins.json, createcobblestone-common.mixins.json
CreativeCore_FORGE_v2.12.32_mc1.20.1.jar                                           | creativecore                                 | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json
creeperoverhaul-3.0.2-forge.jar                                                    | creeperoverhaul                              | creeperoverhaul-common.mixins.json
    /META-INF/jars/resourcefullib-forge-1.20.1-2.1.20.jar                          | resourcefullib                               | 
        /META-INF/jars/yabn-1.0.3.jar                                              | com_teamresourceful_yabn                     | 
        /META-INF/jars/bytecodecs-1.0.2.jar                                        | com_teamresourceful_bytecodecs               | 
cristellib-1.1.6-forge.jar                                                         | cristellib                                   | cristellib.mixins.json, cristellib-common.mixins.json
    /META-INF/jars/jankson-1.2.3.jar                                               |                                              | 
crittersandcompanions-forge-1.20.1-2.3.0.jar                                       | crittersandcompanions                        | crittersandcompanions.mixins.json
cupboard-1.20.1-2.7.jar                                                            | cupboard                                     | cupboard.mixins.json
curios-forge-5.14.1+1.20.1.jar                                                     | curios                                       | curios.mixins.json
curious_armor_stands-1.20-5.1.0.jar                                                | curious_armor_stands                         | 
curiouslanterns-1.20.1-1.3.7.jar                                                   | curiouslanterns                              | 
custom-crosshair-mod-v1.5.4-forge-mc1.20.1.jar                                     | custom_crosshair_mod                         | 
customcredits-1.20.1-1.7.jar                                                       | customcredits                                | customcredits_forge.mixins.json, customcredits_fabric.mixins.json
CustomPlayerModels-1.20-0.6.23a.jar                                                | cpm                                          | cpm.mixins.refmap.json, cpm.mixins.compat.json, cpm.mixins.json
customvillagertrades-forge-20.25.0.jar                                             | customvillagertrades                         | customvillagertrades.mixins.json
DarkPaintings-Forge-1.20.1-17.0.4.jar                                              | darkpaintings                                | 
decorative_blocks-forge-1.20.1-4.1.3.jar                                           | decorative_blocks                            | decorative_blocks.mixins.json, decorative_blocks.forge.mixins.json
deeperdarker-forge-1.20.1-1.3.3.jar                                                | deeperdarker                                 | mixins.deeperdarker.json, mixins.deeperdarker.refmap.json
defaultoptions-forge-1.20-18.0.1.jar                                               | defaultoptions                               | defaultoptions.mixins.json
deltaboxlib-forge-2.2.0+1.20.1.jar                                                 | deltaboxlib                                  | deltaboxlib.mixins.json
diet-forge-2.1.1+1.20.1.jar                                                        | diet                                         | diet.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.14+1.20.1.jar                           | spectrelib                                   | 
Ding-1.20.1-Forge-1.5.0.jar                                                        | ding                                         | 
Disenchanting-forge-1.20.1-2.2.4.jar                                               | disenchanting                                | 
DistantHorizons-2.3.4-b-1.20.1-fabric-forge.jar                                    | distanthorizons                              | DistantHorizons.forge.mixins.json, DistantHorizons.fabric.mixins.json
    /META-INF/jars/fabric-screen-api-v1-2.0.7+b3afc78b77.jar                       | fabric-screen-api-v1                         | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.11.9+132c48c177.jar                 | fabric-resource-loader-v0                    | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-rendering-v1-3.0.7+b3afc78b77.jar                        | fabric-rendering-v1                          | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-networking-api-v1-1.3.10+eeb8eb3677.jar                  | fabric-networking-api-v1                     | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-lifecycle-events-v1-2.2.21+b3afc78b77.jar                | fabric-lifecycle-events-v1                   | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jars/fabric-key-binding-api-v1-1.0.36+fb8d95da77.jar                 | fabric-key-binding-api-v1                    | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-0.6.1+e91849a877.jar               | fabric-events-interaction-v0                 | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
    /META-INF/jars/fabric-entity-events-v1-1.5.22+b3afc78b77.jar                   | fabric-entity-events-v1                      | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-command-api-v2-2.2.12+b3afc78b77.jar                     | fabric-command-api-v2                        | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-api-base-0.4.30+7abfd51577.jar                           | fabric-api-base                              | 
do_a_barrel_roll-forge-3.5.6+1.20.1.jar                                            | do_a_barrel_roll                             | do_a_barrel_roll.forge.mixins.json, do_a_barrel_roll.mixins.json
domesticationinnovation-1.7.1-1.20.1.jar                                           | domesticationinnovation                      | domesticationinnovation.mixins.json, citadel.mixins.json
doubledoors-1.20.1-7.1.jar                                                         | doubledoors                                  | doubledoors_forge.mixins.json, doubledoors_fabric.mixins.json
dragonfight-1.20.1-4.6.jar                                                         | dragonfight                                  | dragonfight.mixins.json
DrawersTooltip-1.20.1-forge-8.0.0.jar                                              | drawerstooltip                               | 
drippyloadingscreen_forge_3.0.11_MC_1.20.1.jar                                     | drippyloadingscreen                          | drippyloadingscreen.forge.mixins.json, drippyloadingscreen.mixins.json
dummmmmmy-1.20-2.0.7.jar                                                           | dummmmmmy                                    | dummmmmmy-common.mixins.json, dummmmmmy.mixins.json
Dungeon Now Loading-forge-1.20.1-1.5.jar                                           | dungeonnowloading                            | dungeonnowloading.mixins.json, dungeonnowloading.forge.mixins.json
dungeons-and-taverns-3.0.3.f.jar                                                   | mr_dungeons_andtaverns                       | 
dungeons_and_combat-1.2.1-forge-1.20.1.jar                                         | dungeons_and_combat (MCreator mod)           | 
dungeons_enhanced-1.20.1-5.4.2.jar                                                 | dungeons_enhanced                            | 
DungeonsArise-1.20.x-2.1.58-release.jar                                            | dungeons_arise                               | 
DungeonsAriseSevenSeas-1.19.2-1.0.2-forge.jar                                      | dungeons_arise_seven_seas                    | 
dynamiccrosshair-9.8+1.20.1-forge.jar                                              | dynamiccrosshair                             | dynamiccrosshair.compat.mixins.json, dynamiccrosshair.mixins.json
    /META-INF/jars/dynamiccrosshair-api-9.8+1.20.1-forge.jar                       | dynamiccrosshairapi                          | 
    /META-INF/jars/libbamboo-2.16+1.20.1-forge.jar                                 | libbamboo                                    | libbamboo.mixins.json
dynview-1.20.1-4.0.jar                                                             | dynview                                      | dynview.mixins.json
EasyAnvils-v8.0.2-1.20.1-Forge.jar                                                 | easyanvils                                   | easyanvils.common.mixins.json, easyanvils.forge.mixins.json
easyelytratakeoff-1.20.1-4.5.jar                                                   | easyelytratakeoff                            | easyelytratakeoff_forge.mixins.json, easyelytratakeoff_fabric.mixins.json
EasyMagic-v8.0.1-1.20.1-Forge.jar                                                  | easymagic                                    | easymagic.common.mixins.json
EasyShulkerBoxes-v8.0.2-1.20.1-Forge.jar                                           | easyshulkerboxes                             | easyshulkerboxes.common.mixins.json
    /META-INF/jarjar/puzzlesapi-forge-8.1.6.jar                                    | puzzlesapi                                   | puzzlesapi.common.mixins.json
        /META-INF/jarjar/puzzlesaccessapi-forge-8.0.9.jar                          | puzzlesaccessapi                             | 
eatinganimation-1.20.1-5.1.0.jar                                                   | eatinganimation                              | 
ecologics-forge-1.20.1-2.2.2.jar                                                   | ecologics                                    | ecologics-common.mixins.json, ecologics.mixins.json
eeeabsmobs-1.20.1-0.97-Fix.jar                                                     | eeeabsmobs                                   | eeeabsmobs.mixins.json
ElysiumAPI-1.20.1-1.1.3.jar                                                        | elysium_api                                  | mixins.elysium_api.refmap.json, mixins.elysium_api.json
elytraslot-forge-6.4.4+1.20.1.jar                                                  | elytraslot                                   | elytraslot-forge-integrations.mixins.json, elytraslot-integrations.mixins.json
embeddium-0.3.31+mc1.20.1.jar                                                      | embeddium                                    | embeddium.mixins.json
EnchantingInfuser-v8.0.3-1.20.1-Forge.jar                                          | enchantinginfuser                            | 
EnchantmentDescriptions-Forge-1.20.1-17.1.19.jar                                   | enchdesc                                     | 
enchantmentdisabletag-forge-1.1.0+1.20.1.jar                                       | enchantmentdisabletag                        | enchantmentdisabletag.forge.mixins.json, enchantmentdisabletag.mixins.json
ender_dragon_loot-1.20.1.jar                                                       | ender_dragon_loot (MCreator mod)             | 
endermanoverhaul-forge-1.20.1-1.0.4.jar                                            | endermanoverhaul                             | endermanoverhaul.mixins.json, endermanoverhaul-common.mixins.json
endersdelight-forge-1.20.1-1.1.3.jar                                               | endersdelight                                | 
endrem_forge-5.3.3-R-1.20.1.jar                                                    | endrem                                       | endrem.mixins.json
enhancedai-2.6.11.jar                                                              | enhancedai                                   | mixins.enhancedai.refmap.json, mixins.enhancedai.json
EnhancedVisuals_FORGE_v1.8.2_mc1.20.1.jar                                          | enhancedvisuals                              | enhancedvisuals.mixins.json, enhancedvisuals.fabric.mixins.json, enhancedvisuals.mixin.refmap.json
entity_model_features_forge_1.20.1-2.4.1.jar                                       | entity_model_features                        | entity_model_features-common.mixins.json, entity_model_features-optional.mixins.json, entity_model_features.mixins.json
entity_texture_features_forge_1.20.1-6.2.9.jar                                     | entity_texture_features                      | entity_texture_features-forge.mixins.json, entity_texture_features-common.mixins.json
